Category,Message
spam,"I want some faucets! My husband goes away, I need a real man 2 that makes me satisfied. TXT's wife to 89938 has no action. (TXT stops 2 ends, txt rect £ 1.50."
ham,Ok . . now i am in bus. . If i come soon i will come otherwise tomorrow
ham,Probably a couple hours tops
spam,Your weekly cool tones are ready to download! This week the new sounds include: 1) Crazy Frog-Axel F >>> 2) Akon-Lonely >>> 3)
ham,No need to say anything to me. I know i am an outsider
spam,"449050000301 You have won £ 2,000! To request, call 09050000301."
spam,"Double Mins and TKTS 4 6 months Bluetooth for free on Orange. Available on Sony, Nokia Motorola. Call mobileupd8 at 08000839402 or call2optout/n9dx"
spam,FREE INTRODUCTION IN THE WEEK COMP ART OUR ONLY NEED FROM INTRODUCTION TO 84128 Right now. 18 T&C www.textcomp.com Custom 08712405020.
spam,"Free message activating 500 free text messages by replying this message with free word for terms & conditions, visit www.07781482378.com"
spam,<Transition from 21870000> Hi - This is the SMS warning of your mailbox. You have 40 matches. Please call back to 09056242159 to get your message and match CC100P/minute
spam,Freemsg today is the day if you are ready! I am the horn and live in your town. I love sex happily & game! NetCollex Ltd 08700621170150P each MSG answered stop to end
spam,"In the film Simpsons was released in July 2007, the band died when the movie started? A-Green day, B-Lue date, C-RED date. (Send A, B or C)"
ham,I anything lor.
ham,"Sorry pa, i dont knw who ru pa?"
ham,The evo. I just had to download flash. Jealous?
spam,"Congratulations to 2 Videophones 3G Mobile R. Call 09063458130 now! Videochat Wid Ur Mates, Java game, Dload Polyph Music, Noline Rentl. BX420. IP4. 5we. 150p"
spam,"URGENT! Your 077xxx mobile phone has won a prize of a £ 2,000 prize on June 2, March! This is the second effort to approach you! Call 09066362206 as soon as possible! Box97n7qp, 150ppm"
spam,"Free2day Sexy St George's Day Pic Of Jordan! TXT pic to 89080 do not miss, then each WK A Dail Celeb! 4 more photos"
ham,When did dad get back.
spam,Lookatme!: Thank you for buying a video clip from lookatme! Thinking that you can do better? Why not send videos in MMSTO 32323.
spam,"The Vodafone number of the day ends with 0089 (my last four digits) chosen to receive the £ 350 award. If your number matches each other, please call 09063442151 to receive your £ 350 award"
spam,Set - you have been made 150p invoices. NetCollex Ltd. Po Box 1013 IG11 oja
ham,"Princess, is your kitty shaved or natural?"
ham,I'm in class. Did you get my text.
spam,Urgent! Please call 09061213237 from a fixed phone. £ 5000 cash or a 4* collection is waiting. T & CS SAE PO box 177 M227xy. 16+
ham,Nope. Meanwhile she talk say make i greet you.
ham,"see, i knew giving you a break a few times woul lead to you always wanting to miss curfew. I was gonna gibe you 'til one, but a MIDNIGHT movie is not gonna get out til after 2. You need to come home. You need to getsleep and, if anything, you need to b studdying ear training."
ham,Finished class where are you.
spam,"There is no 1 MOB 4 MOB polymorphic tone every week! Just txt pt2 to 87575. Tone 1 free! So, take TXTin right now and tell your friends. 150p/melody. 16 Reply HL 4Info"
spam,"Freemsg: Ask UR 250 SMS-TEXT OK to 84025 now! Use Web2mobile 2 UR MATES, etc. Join TXT250.com for 1.50p/week. T&C Box139, LA32WU. 16. Delete TXTX or stop"
ham,You tell what happen dont behave like this to me. Ok no need to say
ham,"K, if u bored up just come to my home.."
ham,"Yes, princess. Are you going to make me moan?"
spam,"SMS. Blind day AC 4U !: Rodds1 from Aberdeen, UK. Check him http: // IMG. SMS. AC/W/ICMB3CKTZ8R7! -4 no blind days"
ham,K..k..i'm also fine:)when will you complete the course?
ham,Aiyo cos i sms Ã¼ then Ã¼ neva reply so i wait 4 Ã¼ to reply lar. I tot Ã¼ havent finish ur lab wat.
spam,Sexy sexy and texting me I'm wet and warm and ready for some porn movies! Are you happy? This MSG is free MSGS 150P INC VAT 2 cancel the stop text
spam,URGENT! Your Mobile number has been awarded with a Â£2000 prize GUARANTEED. Call 09061790121 from land line. Claim 3030. Valid 12hrs only 150ppm
ham,"Good afternoon sunshine! How dawns that day ? Are we refreshed and happy to be alive? Do we breathe in the air and smile ? I think of you, my love ... As always"
ham,Also are you bringing galileo or dobby
ham,Am not working but am up to eyes in philosophy so will text u later when a bit more free for chat...
spam,"Imagine football is back on your TV. Visit Sky Gamestar on Sky Active and play the dream group £ 250,000. Score starting on Saturday, so register now! Sky select 88088"
spam,"Auction round 4. The highest bid is now Â£54. Next maximum bid is Â£71. To bid, send BIDS e. g. 10 (to bid Â£10) to 83383. Good luck."
ham,Yunny i'm walking in citylink now Ã¼ faster come down... Me very hungry...
spam,TBS/Persolvo. Having pursued us since September for £ 38 certainly not pay now thanks to your information. We will ignore them. Kath. Manchester.
ham,Can't. I feel nauseous. I'm so pissed. I didn't eat any sweets all week cause today I was planning to pig out. I was dieting all week. And now I'm not hungry :/
ham,Can i meet Ã¼ at 5.. As 4 where depends on where Ã¼ wan 2 in lor..
ham,"Uh, heads up we don't have THAT much left"
spam,Free for the first week! No1 Nokia Tone 4 UR MOB per week only txn nokia to 8007 receives txting and tells your friends www.getzed.co.uk Pobox 36504 W45WQ NORM150P/Tone 16+
spam,"Hello if you look after 4 happy day sauces WIV BUSTY MARRIED Woman AM for free, next week to talk now 2 hours arranged 09099726429 Janinxx call"
ham,Yar lor... How u noe? U used dat route too?
spam,Only December! There are 11 minutes of your mobile+? You have the right to update the latest color camera! Call Mobile update for free at 08002986906
spam,FREE INTRODUCTION IN THE WEEK COMP ART OUR ONLY NEED FROM INTRODUCTION TO 84128 Right now. 18 T&C www.textcomp.com Custom 08712405020.
ham,"Alright we'll bring it to you, see you in like  &lt;#&gt;  mins"
